image,EC_id,FFE_gsv_m,EC_FFE_m,error_m
2531_37.002041_-76.372831_0_329.83.jpg,2531,4.113689999920675,3.6816792000000005,0.4320107999206746
2577_37.073574_-76.328905_0_73.94.jpg,2577,3.320429018333334,3.3467040000000003,0.02627498166666653
3055_37.058795_-76.300362_0_266.06.jpg,3055,3.1944400871392302,3.1089599999999997,0.0854800871392305
3487_36.74242_-76.315041_0_294.09.jpg,3487,3.0789158816512407,3.2464248,0.16750891834875947
3674_36.752716_-76.279473_0_308.82.jpg,3674,3.178597978178927,2.9477208,0.23087717817892717
835_37.106933_-76.403887_0_318.29.jpg,835,3.6392782070000003,3.6274248,0.01185340700000026
3330_36.739745_-76.310566_0_190.99.jpg,3330,3.345483539191057,3.4597848000000004,0.11430126080894354
2655_37.064503_-76.308262_0_257.53.jpg,2655,2.9175188566222987,2.746248,0.17127085662229868
2752_37.062412_-76.34664_0_126.86.jpg,2752,3.2074585563530063,3.0894528,0.11800575635300614
305_36.742464_-75.942965_0_71.50.jpg,305,4.2673745934302065,4.407408,0.14003340656979368
2730_37.004742_-76.354372_0_160.78.jpg,2730,2.7059995577994265,2.68224,0.02375955779942629
2262_36.894532_-76.277419_0_347.55.jpg,2262,2.5664002914969557,2.8376880000000004,0.27128770850304473
2869_37.056929_-76.352015_0_309.49.jpg,2869,2.866407740595518,2.8983432000000002,0.03193545940448228
2669_37.059203_-76.369028_0_132.78.jpg,2669,2.467612746424927,2.5112472000000006,0.04363445357507345
3295_36.745922_-76.305102_0_245.79.jpg,3295,0.595453300512687,2.9690568,2.373603499487313
837_37.1058508_-76.4035489_0_67.00.jpg,837,4.277246820811984,4.2675048,0.009742020811983387
2989_37.092737_-76.304458_0_221.70.jpg,2989,4.852858830728927,4.6667928000000005,0.18606603072892636
3638_36.744772_-76.285651_0_337.44.jpg,3638,2.912550869623521,3.0970728,0.18452193037647868
2084_36.933824_-76.208176_0_212.31.jpg,2084,3.124583438695792,3.150460044,0.025876605304207878
337_36.73062_-75.942505_0_102.47.jpg,337,1.4899397276666686,2.77368,1.2837402723333315
44_36.833188_-76.358616_0_148.19.jpg,44,3.3910465410000006,2.9870400000000004,0.4040065410000002
2949_37.05401_-76.303801_0_75.16.jpg,2949,3.279113489153928,3.3528000000000002,0.07368651084607203
3024_37.075822_-76.290282_0_348.47.jpg,3024,3.077151973665722,3.0166056,0.06054637366572191
2379_36.843697_-76.228824_0_294.26.jpg,2379,3.5868803771895097,3.584448,0.002432377189509616
817_37.1054758_-76.4055038_0_184.00.jpg,817,3.9898232051666396,4.0571928,0.06736959483336058
2896_37.063212_-76.289367_0_331.76.jpg,2896,2.593607480443184,2.901696,0.30808851955681593
2705_37.040284_-76.350962_0_223.66.jpg,2705,3.3248243378632467,3.3281112000000004,0.0032868621367536655
