image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,EC_FFE_m,error_m,delta_h,distance,sink_distance,camera_h,camera_dem_m,phi,pano_lat,pano_lon,target_lat,target_lon,target_elev,image_date,edge,is_lowest_door
373_36.672184_-76.919775_0_273.91.jpg,vnM-7Go6SD-czOlLV4izUQ,373,0.630859,496,758,460,4.4920228796241695,4.5814488,0.08942592037583097,0.32683943962417006,9.792740222705097,-2.54771877037583,2.87455821,4.16518344,0.07868660744636749,36.672184,-76.919775,36.67219691917633,-76.91988336755216,4.4920228796241695,2014-06,Not_at_edge,Y
3740_36.814588_-76.083164_0_206.50.jpg,Fa58FPNZrLcH3Fej_lH-7Q,3740,0.949707,378,516,377,2.258390314650372,2.19456,0.06383031465037181,0.4667423866503717,21.08134524597566,-1.9417337273496282,2.408476114,1.7916479280000002,-0.004186413725259865,36.814588,-76.083164,36.81441763928125,-76.0832685348359,2.258390314650372,2019-05,Not_at_edge,Y
3743_36.699926_-75.927801_0_56.93.jpg,w5LyvoA_liYD1RcuDFjfAA,3743,0.949707,723,456,314,2.5064379728518587,2.5298400000000005,0.02340202714814188,1.3723533728518584,21.205369659799366,-1.0365943331481418,2.408947706,1.1340846,0.23293982452259526,36.699926,-75.927801,36.69999048836788,-75.92757761976212,2.5064379728518587,2019-04,Not_at_edge,Y
3747_36.724954_-75.939542_0_72.26.jpg,EGH3lStUkcB504opdcvzww,3747,0.948242,371,460,326,2.5362890395199305,2.46888,0.06740903951993049,1.2573939595199306,21.711355866686162,-1.1513463224800695,2.408740282,1.27889508,-0.008722060930257871,36.724954,-75.939542,36.72501523582779,-75.93931116825347,2.5362890395199305,2019-04,Not_at_edge,Y
374_36.672093_-76.919714_0_211.56.jpg,3BWdVTOpC_caQ9jQEVIFdQ,374,0.914062,624,641,399,5.147421722416372,5.008168800000001,0.13925292241637077,0.7661046024163709,12.188937934765327,-2.164212799583629,2.930317402,4.38131712,0.16592849020823244,36.672093,-76.919714,36.672010188162865,-76.91980357587825,5.147421722416372,2014-06,Not_at_edge,Y
3759_36.892736_-76.308663_0_195.97.jpg,U86_lxdeuz4TnolNvg662g,3759,0.897461,400,528,328,2.9445982802505943,3.44424,0.49964171974940585,1.4549583842505942,14.547045955704936,-1.4616020267494056,2.916560411,1.4896398960000001,0.011861554424657902,36.892736,-76.308663,36.89261041243499,-76.30870975956,2.9445982802505943,2015-07,Not_at_edge,Y
3760_36.896225_-76.30296_0_283.11.jpg,BOBQiZ_Utx7P5R4ckd_HoA,3760,0.828125,374,250,82,5.036274962,4.17576,0.8605149619999999,4.040673194,17.317096229943992,1.6191651199999995,2.421508074,0.9956017680000001,-0.006628965919738073,36.896225,-76.30296,36.8962593857394,-76.30314950917219,5.036274962,2019-05,Not_at_edge,Y
3762_36.897693_-76.301159_0_191.17.jpg,2yubXwFGp3OQzihhvuICxQ,3762,0.914062,361,519,346,2.843643622389668,3.6880800000000002,0.8444363776103323,1.3399158703896679,16.721594505435522,-1.586667181610332,2.926583052,1.503727752,-0.015350139384487047,36.897693,-76.301159,36.897544745751894,-76.3011925139531,2.843643622389668,2015-07,Not_at_edge,Y
376_36.672528_-76.920006_0_240.90.jpg,8wMqHi1wJEpdpJDybmELpg,376,0.874023,625,533,364,4.764654333287824,4.6119288,0.1527255332878239,1.1228429732878236,17.457963277944184,-1.8017712177121763,2.924614191,3.64181136,0.167285590873065,36.672528,-76.920006,36.672475446142165,-76.92019007743751,4.764654333287824,2014-06,Not_at_edge,Y
3771_36.930773_-76.211298_0_106.52.jpg,5wHIXhu3TsTsWJqqPtvlnA,3771,0.955078,377,380,240,3.691149750949838,3.77952,0.08837024905016211,2.416701702949838,20.7802346605213,0.05799618194983818,2.358705521,1.274448048,-0.00453581282322158,36.930773,-76.211298,36.93072057028064,-76.21107408592474,3.691149750949838,2019-04,Not_at_edge,Y
3779_36.92941_-76.201849_0_289.60.jpg,MN_zVEyxE1LNBKqpix6Rtg,3779,0.941406,335,342,140,4.104112059291989,4.1148,0.010687940708010935,2.8328095472919887,14.481945123068714,0.42417869929198854,2.408630848,1.271302512,-0.0338296076466636,36.92941,-76.201849,36.929449591843266,-76.20200388534964,4.104112059291989,2019-04,Not_at_edge,Y
377_36.673288_-76.920967_0_136.07.jpg,gMMb-nG0rUT1lSh5NUtQNw,377,0.936035,660,630,422,4.446384125281975,4.5204888,0.07410467471802473,0.5240043652819741,14.176389573074514,-2.3990939607180257,2.923098326,3.9223797600000005,0.19059542078672373,36.673288,-76.920967,36.673180873254985,-76.9208806041717,4.446384125281975,2018-05,Not_at_edge,Y
3780_36.929239_-76.201919_0_273.92.jpg,Mk_eB3E-pI5_Bz37T5t3UA,3780,0.927246,288,347,142,3.9550873047096102,3.99288,0.037792695290389755,2.76110950470961,14.222410361169814,0.3564917187096096,2.404617786,1.1939778,-0.06619271476086028,36.929239,-76.201919,36.929239284938646,-76.20207863321036,3.9550873047096102,2019-04,Not_at_edge,Y
384_36.674196_-76.919769_0_299.90.jpg,sBtqMrPmE45EcdnaWKNJnA,384,0.389404,341,522,417,4.622214179362375,4.305909600000001,0.31630457936237466,0.22925369936237505,27.98509799030569,-2.693647215637625,2.922900915,4.39296048,-0.02929882441521093,36.674196,-76.919769,36.67431525139869,-76.92004485279716,4.622214179362375,2018-05,Not_at_edge,Y
40_36.804216_-76.312066_0_83.56.jpg,YyyEa-Wi0vkrKsThmcoW1w,40,0.906738,552,457,294,3.5227675003456462,3.6277296,0.10496209965435366,1.510904620345646,17.971539867142766,-0.9215916886543537,2.432496309,2.0118628800000002,0.11738338684775569,36.804216,-76.312066,36.80421519267565,-76.31186461672597,3.5227675003456462,2019-04,Not_at_edge,Y
412_36.675332_-76.927025_0_172.17.jpg,hGqjPPlbmxTrFJvNoQDYEQ,412,0.945312,267,721,408,7.79102082908156,7.7827632,0.00825762908156058,0.7370039490815601,9.295561162044581,-2.18515929891844,2.922163248,7.054016880000001,-0.08111367043014742,36.675332,-76.927025,36.6752502131952,-76.92700253231527,7.79102082908156,2018-05,Not_at_edge,Y
