ID,LAT,LON,panoId,LAG,HAG,LOWELEV_ST,FFE_ft,DEM_ft,camera_height_m,image_date,elevation_wgs84_m,elevation_egm96_m,pano_lat,pano_lng
287,36.731438,-75.940997,tXaUZFctSFEcJwP72HZKZw,4.3,6,4.2,8.1,4.55213,2.398531199,2019-04,-37.304121,2.241747,36.731394,-75.941263
288,36.728938,-75.93741,Rutu1ywYk08ChzwJLtN1Xg,12.6,13.9,12.6,16.2,10.0762,2.409010172,2019-04,-35.546639,4.0079,36.728835,-75.937663
291,36.732469,-75.938765,LLej3fLt75IHZWiZKPhKQQ,11.2,12,11.8,14.1,10.3037,2.434196711,2019-04,-35.46466,4.083322,36.732409,-75.939041
297,36.729199,-75.937508,HwjS_ZOaJqe_tOOtgfKWjw,12.7,13.3,12.9,16.6,10.326,2.408932447,2019-04,-35.610756,3.943275,36.729092,-75.937763
298,36.725839,-75.939222,zmpirmG-aAjxGl1mvHqArg,7.1,7.3,7.2,8,4.76237,2.403115749,2019-04,-37.256862,2.298532,36.726075,-75.939305
301,36.824657,-76.187313,7KlOToR4ptvH5QIIHCls7A,7.7,9.2,6,9.9,4.69848,2.986912251,2015-07,-33.239176,5.556787,36.824481,-76.187229
302,36.824434,-76.18771,evMu-e9VwZefWzZGCdKYIw,9.9,9.9,8.7,11.3,6.49981,2.910288095,2015-07,-32.613115,6.182306,36.824312,-76.187508
303,36.744677,-75.943516,zTgFdWG62FSY9qRUVw2hXA,11.7,13.1,13.5,14.3,8.98666,2.391982794,2019-04,-35.942433,3.583099,36.744574,-75.943795
305,36.742551,-75.942678,NwPU1YFT6YFT4_2q_zTWMA,13.3,13.8,13.51,14.46,9.9314,2.408713579,2019-04,-35.556784,3.972651,36.742464,-75.942965
306,36.725999,-75.936287,jujsW3EL-aQv8LTHWAivAA,11.5,12.7,12,14,10.3742,2.358842134,2019-04,-35.512645,4.047265,36.725933,-75.936527
308,36.704597,-75.928151,G1oM3P4fd5OdaUw3aZ9BZA,12.3,13.1,12,13.6,7.812,2.424804449,2019-04,-35.161771,4.437251,36.704554,-75.928483
